Licensee,Address,City,State,Zip, Medical Sales , Adult-Use Sales , Total Sales 
APOGEE THERAPEUTICS LLC - RETAIL,1769 Victory Ln,Sunland Park,NM,88063," $ 1,864.94 "," $ 35,530.09 "," $ 37,395.03 "
AREA 54 DISPENSARY LLC- ANGELINA BLVD RETAIL,764 Angelina blvd,Chaparral,NM,88081," $ 4,455.88 "," $ 29,842.33 "," $ 34,298.21 "
ASTRO BUDS LLC - APPALOOSA DRIVE CONSUMPTION / RETAIL,1650 Appaloosa Drive,Sunland Park,NM,88063," $ 13,740.53 "," $ 238,114.14 "," $ 251,854.67 "
ASTRO BUDS LLC - MCCOMBS RD RETAIL,308 McCombs Rd Spc 2,Chaparral,NM,88081," $ 5,637.83 "," $ 122,001.74 "," $ 127,639.57 "
BESOS LLC/ RETAIL FUTURITY DR,1805 Futurity Dr,Sunland Park,NM,88603, $ 653.61 ," $ 28,309.73 "," $ 28,963.34 "
BLUE WHALE SUNLAND - APPALOOSA ST RETAIL,1500 Appaloosa St Suite B,Sunland Park,NM,88063," $ 41,355.65 "," $ 659,587.68 "," $ 700,943.33 "
"CHADCOR HOLDINGS NM, LLC",1615 Appaloosa Dr,Sunland Park,NM,88063," $ 36,352.71 "," $ 978,961.75 "," $ 1,015,314.46 "
CHADCOR HOLDINGS NM- RETAIL, 1621 Appaloosa Dr,Sunland Park,NM,88063," $ 14,470.45 "," $ 314,282.47 "," $ 328,752.92 "
COUTH FARMS LLC - ANTHONY DR RETAIL,132 Anthony Dr,Anthony,NM,88021, $ 544.56 ," $ 11,261.47 "," $ 11,806.03 "
DIABLO BUDS GROW 1 LLC - APPALOOSA STE 6,1925 Appaloosa Ste 6,Sunland Park,NM,88063, $ 202.84 ," $ 13,558.50 "," $ 13,761.34 "
DISPENSARY NEAR ME SUNLAND PARK LLC- MCNUTT RETAIL/CONSUMPTION,1290 McNutt Rd,Sunland Park,NM,88063," $ 3,077.84 "," $ 76,506.41 "," $ 79,584.25 "
DISTRICT 2 LLC - RILEY WAY RETAILER,1245 Riley Way,Chaparral,NM,88081, $ 98.70 ," $ 5,640.55 "," $ 5,739.25 "
ELEVATED SOCIETY LLC/ RETAIL APPALOOSA DR,1920 Appaloosa Dr,Sunland Park,NM,88063, $ 806.95 ," $ 20,140.12 "," $ 20,947.07 "
