Licensee,Address,City,State,Zip, Medical Sales , Adult-Use Sales , Total Sales 
APOGEE THERAPEUTICS LLC - RETAIL,1769 Victory Ln,Sunland Park,NM,88063," $ 1,896.28 "," $ 33,955.01 "," $ 35,851.29 "
AREA 54 DISPENSARY LLC- ANGELINA BLVD RETAIL,764 Angelina blvd,Chaparral,NM,88081," $ 3,943.51 "," $ 25,107.68 "," $ 29,051.19 "
ASTRO BUDS LLC - APPALOOSA DRIVE CONSUMPTION / RETAIL,1650 Appaloosa Drive,Sunland Park,NM,88063," $ 12,368.45 "," $ 237,183.44 "," $ 249,551.89 "
ASTRO BUDS LLC - MCCOMBS RD RETAIL,308 McCombs Rd Spc 2,Chaparral,NM,88081," $ 6,789.80 "," $ 132,157.10 "," $ 138,946.90 "
BESOS LLC/ RETAIL FUTURITY DR,1805 Futurity Dr,Sunland Park,NM,88603, $ 388.01 ," $ 27,867.20 "," $ 28,255.21 "
BLUE WHALE SUNLAND - APPALOOSA ST RETAIL,1500 Appaloosa St Suite B,Sunland Park,NM,88063," $ 40,225.92 "," $ 654,402.03 "," $ 694,627.95 "
"CHADCOR HOLDINGS NM, LLC",1615 Appaloosa Dr,Sunland Park,NM,88063," $ 29,452.62 "," $ 886,298.70 "," $ 915,751.32 "
CHADCOR HOLDINGS NM- RETAIL, 1621 Appaloosa Dr,Sunland Park,NM,88063," $ 10,631.71 "," $ 270,729.35 "," $ 281,361.06 "
COUTH FARMS LLC - ANTHONY DR RETAIL,132 Anthony Dr,Anthony,NM,88021,, $ 34.34 , $ 34.34 
DIABLO BUDS GROW 1 LLC - APPALOOSA STE 6,1925 Appaloosa Ste 6,Sunland Park,NM,88063,," $ 9,873.58 "," $ 9,873.58 "
DISPENSARY NEAR ME SUNLAND PARK LLC- MCNUTT RETAIL/CONSUMPTION,1290 McNutt Rd,Sunland Park,NM,88063," $ 3,418.77 "," $ 69,933.42 "," $ 73,352.19 "
DISTRICT 2 LLC - RILEY WAY RETAILER,1245 Riley Way,Chaparral,NM,88081, $ 90.00 , $ 827.60 , $ 917.60 
ELEVATED SOCIETY LLC/ RETAIL APPALOOSA DR,1920 Appaloosa Dr,Sunland Park,NM,88063, $ 488.12 ," $ 20,734.72 "," $ 21,222.84 "
FIELDS OF DREAMS - SUNLAND PARK RETAIL,159 Sunland Park Dr,Sunland Park,NM,88063," $ 11,766.91 "," $ 1,151,622.08 "," $ 1,163,388.99 "
