Licensee,Address,City,State,Zip," Medical Sales "," Adult-Use Sales "," Total Sales "
575 CANNABIS LLC- RETAIL 305 S COUNTY LINE,305 S County Line Dr,Chaparral,NM,88081,$ 616.04,"$ 4,466.14","$ 5,082.18"
APOGEE THERAPEUTICS LLC - RETAIL,1769 Victory Ln,Sunland Park,NM,88063,"$ 1,404.39","$ 29,478.89","$ 30,883.28"
AREA 54 DISPENSARY LLC- ANGELINA BLVD RETAIL,764 Angelina blvd,Chaparral,NM,88081,"$ 4,201.73","$ 20,140.11","$ 24,341.84"
ASTRO BUDS LLC - APPALOOSA DRIVE CONSUMPTION / RETAIL,1650 Appaloosa Drive,Sunland Park,NM,88063,"$ 8,479.58","$ 152,212.48","$ 160,692.06"
ASTRO BUDS LLC - MCCOMBS RD RETAIL,308 McCombs Rd Spc 2,Chaparral,NM,88081,"$ 6,542.20","$ 133,738.46","$ 140,280.66"
BESOS LLC/ RETAIL FUTURITY DR,1805 Futurity Dr,Sunland Park,NM,88603,$ 709.20,"$ 36,923.77","$ 37,632.97"
BLUE WHALE SUNLAND - APPALOOSA ST RETAIL,1500 Appaloosa St Suite B,Sunland Park,NM,88063,"$ 44,308.85","$ 647,802.10","$ 692,110.95"
"CHADCOR HOLDINGS NM, LLC",1615 Appaloosa Dr,Sunland Park,NM,88063,"$ 30,866.95","$ 883,715.39","$ 914,582.34"
CHADCOR HOLDINGS NM- RETAIL,1621 Appaloosa Dr,Sunland Park,NM,88063,"$ 10,980.51","$ 250,379.12","$ 261,359.63"
DIABLO BUDS GROW 1 LLC - APPALOOSA STE 6,1925 Appaloosa Ste 6,Sunland Park,NM,88063,$ 36.01,"$ 3,823.03","$ 3,859.04"
DISPENSARY NEAR ME SUNLAND PARK LLC- MCNUTT RETAIL/CONSUMPTION,1290 McNutt Rd,Sunland Park,NM,88063,"$ 3,852.91","$ 60,381.19","$ 64,234.10"
EVEREST APOTHECARY,1580 Appaloosa Dr Ste 320,Sunland Park,NM,88063,"$ 4,240.92","$ 63,667.05","$ 67,907.97"
FIELDS OF DREAMS - SUNLAND PARK RETAIL,159 Sunland Park Dr,Sunland Park,NM,88063,"$ 12,587.10","$ 1,062,564.91","$ 1,075,152.01"
FRESHIES LLC/ RETAIL MCNUTT RD,5325 McNutt Rd,Santa Teresa,NM,88008,"$ 3,954.05","$ 34,192.70","$ 38,146.75"
GANJIKA GARDENS LLC/ RETAIL RILEY WAY,1245 Riley Way,Chaparral,NM,88081,$ 958.52,"$ 17,248.56","$ 18,207.08"
GARDEN OF DREAMS CANNABIS LLC,5300 Mcnutt Rd,Santa Teresa,NM,88008,"$ 2,127.32","$ 27,512.76","$ 29,640.08"
"GREEN LABS CANNABIS COMPANY, LLC- DERBY RD RETAIL",245 Derby Rd,Sunland Park,NM,88063,$ 51.70,"$ 6,502.49","$ 6,554.19"
"GREEN THERAPY DISPENSARY, LLC","460 County Line Drive, Space F",Chaparral,NM,88081,"$ 26,888.00","$ 435,154.00","$ 462,042.00"
GROTH INDUSTRIES LLC - SCHNEBERGER DR RETIAL,140 Schneberger Dr,Chaparral,NM,88081,"$ 2,239.25","$ 31,914.51","$ 34,153.76"
HI LIFE DISPENSARY LLC - MCNUTT RD - RETAIL,5620 McNutt Rd,Santa Teresa,NM,88008,"$ 7,965.24","$ 51,718.23","$ 59,683.47"
HOUSE OF FLOWERS ON THE BORDER LLC - RETAIL,1042 State Line,Chaparral,NM,88081,"$ 4,920.95","$ 85,517.90","$ 90,438.85"
J AND J LOAN COMPANY- MCNUTT RETAIL,1144 McNutt,Sunland Park,NM,88063,$ 544.43,"$ 44,989.64","$ 45,534.07"
"KUSHOLOGY 101 LLC - OHARA RD, RETAIL",1600 E OHara Rd,Anthony,NM,88021,$ 426.41,"$ 10,983.69","$ 11,410.10"
MCMC - MILLER - RETAILER,103 Miller Street,Anthony,NM,88021,$ 938.13,"$ 4,651.27","$ 5,589.40"
MEDD LLC - PALOMA BLANCA RETAIL,170 McCombs,Chaparral,NM,88081,"$ 1,189.34","$ 45,110.59","$ 46,299.93"
"NEBRO, LLC",1999 Futurity Drive Unit A,Sunland Park,NM,88063,"$ 1,681.00","$ 63,233.21","$ 64,914.21"
NEWBERRY FARMS LLC - MCNUTT RD. RETAIL,1845 McNutt Rd,Sunland Park,NM,88063,$ 761.83,"$ 5,500.56","$ 6,262.39"
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  SUNLAND PARK RETAIL,1155 McNutt Road,Sunland Park,NM,88063,"$ 3,904.78","$ 24,873.28","$ 28,778.06"
NUVES LLC - RANCH ROAD RETAIL,101 Maguey Suite 4,Sunland Park,NM,88063,$ 85.26,"$ 23,128.56","$ 23,213.82"
OBI WAN CANNABIS LLC,2167 McNutt Rd suite A,Sunland Park,NM,88063,"$ 1,182.34","$ 13,980.12","$ 15,162.46"
OLD GODS CANNABIS INC/ RETAIL APPALOOSA UNIT7,1541 Appaloosa Unit 7,Sunland Park,NM,88063,"$ 3,358.00","$ 119,253.45","$ 122,611.45"
PECOS VALLEY PRODUCTION INC - APPALOOSA DR RETAIL,1925 Appaloosa Dr,Sunland Park,NM,88063,"$ 2,107.79","$ 33,600.99","$ 35,708.78"
PROHIBITION 37 - MCNUTT RD RETAIL,871 McNutt Rd,Sunland Park,NM,88063,"$ 12,062.35","$ 93,086.67","$ 105,149.02"
PURLIFE - 900 COUNTRY CLUB RD RETAIL,900 Country Club Rd,Sunland Park,NM,88008,"$ 7,432.00","$ 68,580.00","$ 76,012.00"
"R GREENLEAF ORGANICS INC/ RETAIL APPALOOSA UNIT 1,2","1541 Appaloosas Unit 1, 2, Crossing Offices",Sunland Park,NM,88063,"$ 5,650.53","$ 84,659.24","$ 90,309.77"
RH AND MC LLC - MILLER ST RETAIL,103 Miller St,Anthony,NM,88021,"$ 2,303.90","$ 14,020.98","$ 16,324.88"
"RMC NM, INC - ANTHONY RETAIL",816 Anthony Dr,Anthony,NM,88021,"$ 13,186.64","$ 56,095.38","$ 69,282.02"
"ROUND HOUSE RESERVE, LLC - MCNUTT DR RETAIL",1165 McNutt Dr Unit C5,Sunland Park,NM,88063,$ 936.03,"$ 13,644.14","$ 14,580.17"
R R HEMPIRE LLC - ANGELINA BLVD RETAIL,101 Angelina Blvd,Chaparral,NM,88081,$ 8.36,"$ 2,921.76","$ 2,930.12"
SCORE 420 - MCNUTT RETAIL,2355 McNutt Road,Sunland Park,NM,88063,"$ 3,335.24","$ 43,737.37","$ 47,072.61"
STATELINE CANNABIS NM LLC - ARCH ANGEL WAY RETAILER/CONSUMPTION,100 Arch Angel Way,Chaparral,NM,88081,"$ 3,346.58","$ 190,953.51","$ 194,300.09"
STATELINE CANNABIS NM LLC- STEPHANIE RETAIL,101 Stephanie,Chaparral,NM,88081,$ 644.18,"$ 14,025.70","$ 14,669.88"
ST CANAPA LLC - MCNUTT RD RETAIL,5305 McNutt Rd,Santa Teresa,NM,88008,$ 132.83,"$ 11,874.09","$ 12,006.92"
SUNLAND MCNUTT GROUP LLC- MCNUTT RD RETAIL,1051 McNutt Rd,Sunland Park,NM,88063,"$ 42,672.73","$ 1,065,005.25","$ 1,107,677.98"
SUNSHINE ESSENTIALS/ RETAIL MCNUTT,267 Anapra Rd,Sunland Park,NM,88063,$ 658.08,"$ 3,790.93","$ 4,449.01"
