Name," Adult-Use Sales "," Medical Sales "," Total Sales ",Address,City,State,Zip
575 CANNABIS LLC- RETAIL 305 S COUNTY LINE,"$5,604.16",$477.62,"$6,081.78",305 S County Line Dr,Chaparral,NM,88081
APOGEE THERAPEUTICS LLC - RETAIL,"$36,058.57","$2,542.07","$38,600.64",1769 Victory Ln,Sunland Park,NM,88063
AREA 54 DISPENSARY LLC- ANGELINA BLVD RETAIL,"$19,641.94","$3,013.46","$22,655.40",764 Angelina blvd,Chaparral,NM,88081
ASTRO BUDS LLC - MCCOMBS RD RETAIL,"$160,207.14","$7,902.85","$168,109.99",308 McCombs Rd Spc 2,Chaparral,NM,88081
BESOS LLC/ RETAIL FUTURITY DR,"$36,439.46","$1,723.99","$38,163.45",1805 Futurity Dr,Sunland Park,NM,88603
BLUE WHALE SUNLAND - APPALOOSA ST RETAIL,"$650,009.43","$44,844.39","$694,853.82",1500 Appaloosa St Suite B,Sunland Park,NM,88063
"CHADCOR HOLDINGS NM, LLC","$963,522.23","$35,545.26","$999,067.49",1615 Appaloosa Dr,Sunland Park,NM,88063
CHADCOR HOLDINGS NM- RETAIL,"$268,963.87","$13,655.85","$282,619.72"," 1621 Appaloosa Dr",Sunland Park,NM,88063
DIABLO BUDS GROW 1 LLC - APPALOOSA STE 6,"$8,479.27",$24.00,"$8,503.27",1925 Appaloosa Ste 6,Sunland Park,NM,88063
DISPENSARY NEAR ME SUNLAND PARK LLC- MCNUTT RETAIL/CONSUMPTION,"$64,337.31","$3,321.75","$67,659.06",1290 McNutt Rd,Sunland Park,NM,88063
EVEREST APOTHECARY,"$71,395.57","$5,195.36","$76,590.93",1580 Appaloosa Dr Ste 320,Sunland Park,NM,88063
FIELDS OF DREAMS - SUNLAND PARK RETAIL,"$1,193,081.15","$10,724.46","$1,203,805.61",159 Sunland Park Dr,Sunland Park,NM,88063
FRESHIES LLC/ RETAIL MCNUTT RD,"$37,979.44","$2,909.75","$40,889.19",5325 McNutt Rd,Santa Teresa,NM,88008
GANJIKA GARDENS LLC/ RETAIL RILEY WAY,"$18,099.72","$1,553.88","$19,653.60",1245 Riley Way,Chaparral,NM,88081
GARDEN OF DREAMS CANNABIS LLC,"$31,819.80","$3,470.02","$35,289.82",5300 Mcnutt Rd,Santa Teresa,NM,88008
"GREEN LABS CANNABIS COMPANY, LLC- DERBY RD RETAIL","$21,465.59",$105.05,"$21,570.64",245 Derby Rd,Sunland Park,NM,88063
"GREEN THERAPY DISPENSARY, LLC","$489,640.00","$32,626.00","$522,266.00","460 County Line Drive, Space F",Chaparral,NM,88081
GROTH INDUSTRIES LLC - SCHNEBERGER DR RETIAL,"$30,734.62","$2,239.44","$32,974.06",140 Schneberger Dr,Chaparral,NM,88081
HI LIFE DISPENSARY LLC - MCNUTT RD - RETAIL,"$48,893.58","$9,252.75","$58,146.33",5620 McNutt Rd,Santa Teresa,NM,88008
HOUSE OF FLOWERS ON THE BORDER LLC - RETAIL,"$84,920.52","$6,433.95","$91,354.47",1042 State Line,Chaparral,NM,88081
J AND J LOAN COMPANY- MCNUTT RETAIL,"$49,485.68",$339.50,"$49,825.18",1144 McNutt,Sunland Park,NM,88063
"KUSHOLOGY 101 LLC - OHARA RD, RETAIL","$9,417.33",$202.36,"$9,619.69",1600 E OHara Rd,Anthony,NM,88021
MEDD LLC - PALOMA BLANCA RETAIL,"$57,839.31","$2,388.00","$60,227.31",170 McCombs,Chaparral,NM,88081
"NEBRO, LLC","$78,176.77","$2,301.50","$80,478.27",1999 Futurity Drive Unit A,Sunland Park,NM,88063
NEWBERRY FARMS LLC - MCNUTT RD. RETAIL,"$4,945.39",$435.78,"$5,381.17",1845 McNutt Rd,Sunland Park,NM,88063
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  SUNLAND PARK RETAIL,"$25,603.72","$5,096.72","$30,700.44",1155 McNutt Road,Sunland Park,NM,88063
NUVES LLC - RANCH ROAD RETAIL,"$26,227.25",$85.81,"$26,313.06",101 Maguey Suite 4,Sunland Park,NM,88063
OBI WAN CANNABIS LLC,"$14,554.67","$1,449.47","$16,004.14",2167 McNutt Rd suite A,Sunland Park,NM,88063
OLD GODS CANNABIS INC/ RETAIL APPALOOSA UNIT7,"$128,291.34","$4,108.00","$132,399.34",1541 Appaloosa Unit 7,Sunland Park,NM,88063
PECOS VALLEY PRODUCTION INC - APPALOOSA DR RETAIL,"$37,858.57","$1,676.48","$39,535.05",1925 Appaloosa Dr,Sunland Park,NM,88063
PROHIBITION 37 - MCNUTT RD RETAIL,"$93,685.53","$10,977.14","$104,662.67",871 McNutt Rd,Sunland Park,NM,88063
PURLIFE - 900 COUNTRY CLUB RD RETAIL,"$62,695.63","$6,229.00","$68,924.63",900 Country Club Rd,Sunland Park,NM,88008
"R GREENLEAF ORGANICS INC/ RETAIL APPALOOSA UNIT 1,2","$88,869.36","$5,120.62","$93,989.98","1541 Appaloosas Unit 1, 2, Crossing Offices",Sunland Park,NM,88063
RH AND MC LLC - MILLER ST RETAIL,"$20,386.00","$3,855.16","$24,241.16",103 Miller St,Anthony,NM,88021
"RMC NM, INC - ANTHONY RETAIL","$79,636.91","$10,827.22","$90,464.13",816 Anthony Dr,Anthony,NM,88021
"ROUND HOUSE RESERVE, LLC - MCNUTT DR RETAIL","$11,402.33","$1,155.09","$12,557.42",1165 McNutt Dr Unit C5,Sunland Park,NM,88063
R R HEMPIRE LLC - ANGELINA BLVD RETAIL,"$4,782.34",$89.84,"$4,872.18",101 Angelina Blvd,Chaparral,NM,88081
SCORE 420 - MCNUTT RETAIL,"$46,362.35","$3,219.57","$49,581.92",2355 McNutt Road,Sunland Park,NM,88063
STATELINE CANNABIS NM LLC - ARCH ANGEL WAY RETAILER/CONSUMPTION,"$201,707.39","$4,656.35","$206,363.74",100 Arch Angel Way,Chaparral,NM,88081
STATELINE CANNABIS NM LLC- STEPHANIE RETAIL,"$9,364.12",$971.69,"$10,335.81",101 Stephanie,Chaparral,NM,88081
STATELINE CANNABIS NM LLC-STEPHANIE RETAIL/CONS,"$2,545.18",$20.96,"$2,566.14",101 Stephanie,Chaparral,NM,880081
ST CANAPA LLC - MCNUTT RD RETAIL,"$13,251.69",$733.14,"$13,984.83",5305 McNutt Rd,Santa Teresa,NM,88008
SUNLAND MCNUTT GROUP LLC- MCNUTT RD RETAIL,"$1,072,896.34","$37,429.79","$1,110,326.13",1051 McNutt Rd,Sunland Park,NM,88063
SUNSHINE ESSENTIALS/ RETAIL MCNUTT,"$3,279.85",$397.53,"$3,677.39",267 Anapra Rd,Sunland Park,NM,88063
TOKE IT UP DISPENSARY AND LOUNGE LLC- FUTURITY DRIVE RETAIL,"$13,716.44","$1,714.34","$15,430.78",1999 Futurity Drive,Sunland Park,NM,88063
TOP OF THE 8TH LLC - ANTHONY DRIVE RETAIL,"$52,938.48","$11,735.78","$64,674.26",401 Anthony Dr Ste B,Anthony,NM,88021
URBAN WELLNESS - APPALOOSA DR RETAILER,"$104,914.73","$5,652.44","$110,567.17",1500 Appaloosa Dr Bldg A Ste 140,Sunland Park,NM,88063
